,Date,Open,High,Low,Close,Adj Close,Volume
333,2009-06-12,72.43,72.629997,70.800003,72.040001,72.040001,314790.0
335,2009-06-15,72.199997,72.349998,69.58000200000001,70.620003,70.620003,224601.0
336,2009-06-16,70.309998,72.769997,69.800003,70.470001,70.470001,242211.0
337,2009-06-17,70.260002,71.279999,69.0,71.029999,71.029999,266350.0
338,2009-06-18,70.82,71.75,70.220001,71.370003,71.370003,265584.0
339,2009-06-19,71.349998,72.300003,68.900002,69.550003,69.550003,178851.0
341,2009-06-22,69.889999,69.889999,66.25,66.93,66.93,115712.0
342,2009-06-23,67.150002,69.68,66.370003,69.239998,69.239998,278468.0
343,2009-06-24,68.550003,69.860001,68.059998,68.66999799999999,68.66999799999999,279901.0
344,2009-06-25,68.290001,70.93,68.110001,70.230003,70.230003,242855.0
345,2009-06-26,70.339996,71.290001,68.809998,69.160004,69.160004,254942.0
347,2009-06-29,69.25,71.91999799999999,68.360001,71.489998,71.489998,208025.0
348,2009-06-30,71.599998,73.379997,68.900002,69.889999,69.889999,229882.0
349,2009-07-01,70.449997,71.849998,68.519997,69.309998,69.309998,331550.0
350,2009-07-02,69.220001,69.739998,66.260002,66.730003,66.730003,304636.0
352,2009-07-06,65.540001,65.650002,63.400002,64.050003,64.050003,243250.0
353,2009-07-07,64.190002,64.910004,62.209998999999996,62.93,62.93,256986.0
354,2009-07-08,61.75,62.68,60.009997999999996,60.139998999999996,60.139998999999996,262358.0
355,2009-07-09,60.380001,61.619999,59.25,60.41,60.41,334958.0
356,2009-07-10,60.450001,60.889998999999996,58.720001,59.889998999999996,59.889998999999996,314800.0
358,2009-07-13,59.860001000000004,60.669998,58.32,59.689999,59.689999,264745.0
359,2009-07-14,60.139998999999996,61.459998999999996,59.150002,59.52,59.52,301907.0
360,2009-07-15,59.790001000000004,62.0,59.650002,61.540001000000004,61.540001000000004,305947.0
361,2009-07-16,62.0,62.25,60.290001000000004,62.02,62.02,279729.0
362,2009-07-17,62.240002000000004,63.990002000000004,61.040001000000004,63.560001,63.560001,250043.0
364,2009-07-20,63.380001,64.900002,63.189999,63.98,63.98,186315.0
365,2009-07-21,64.199997,65.529999,63.509997999999996,64.720001,64.720001,125148.0
366,2009-07-22,65.029999,65.769997,63.759997999999996,65.400002,65.400002,279584.0
367,2009-07-23,65.400002,67.489998,64.400002,67.160004,67.160004,319989.0
368,2009-07-24,66.620003,68.199997,66.459999,68.050003,68.050003,321627.0
370,2009-07-27,68.050003,68.989998,67.599998,68.379997,68.379997,217270.0
371,2009-07-28,68.260002,68.860001,66.480003,67.230003,67.230003,245180.0
372,2009-07-29,66.68,67.010002,62.700001,63.349998,63.349998,253558.0
373,2009-07-30,62.860001000000004,67.290001,62.759997999999996,66.940002,66.940002,342411.0
374,2009-07-31,66.690002,69.739998,64.959999,69.449997,69.449997,344216.0
376,2009-08-03,69.300003,72.199997,69.089996,71.58000200000001,71.58000200000001,400836.0
377,2009-08-04,71.339996,71.949997,70.160004,71.41999799999999,71.41999799999999,323455.0
378,2009-08-05,71.82,72.099998,69.709999,71.970001,71.970001,285877.0
379,2009-08-06,71.83000200000001,72.41999799999999,70.18,71.940002,71.940002,307551.0
380,2009-08-07,71.809998,72.839996,70.379997,70.93,70.93,328670.0
382,2009-08-10,70.66999799999999,71.57,70.089996,70.599998,70.599998,367023.0
383,2009-08-11,70.760002,71.25,68.709999,69.449997,69.449997,304092.0
384,2009-08-12,69.66999799999999,71.129997,68.839996,70.160004,70.160004,389079.0
385,2009-08-13,70.540001,72.209999,70.050003,70.519997,70.519997,342269.0
386,2009-08-14,70.900002,71.599998,67.120003,67.510002,67.510002,322969.0
388,2009-08-17,67.690002,67.690002,65.230003,66.75,66.75,320144.0
389,2009-08-18,66.800003,70.290001,66.110001,69.190002,69.190002,264790.0
390,2009-08-19,70.25,72.800003,68.050003,72.41999799999999,72.41999799999999,182990.0
391,2009-08-20,72.150002,72.879997,71.650002,72.540001,72.540001,126682.0
392,2009-08-21,72.879997,74.720001,72.029999,73.889999,73.889999,241477.0
394,2009-08-24,73.75,74.809998,73.57,74.370003,74.370003,246228.0
395,2009-08-25,73.970001,75.0,71.110001,72.050003,72.050003,208702.0
396,2009-08-26,71.349998,72.639999,70.66999799999999,71.43,71.43,324399.0
397,2009-08-27,71.360001,72.949997,69.83000200000001,72.489998,72.489998,255501.0
398,2009-08-28,72.860001,73.519997,71.779999,72.739998,72.739998,272730.0
400,2009-08-31,72.75,73.360001,69.129997,69.959999,69.959999,239217.0
401,2009-09-01,69.559998,71.370003,68.0,68.050003,68.050003,276967.0
402,2009-09-02,68.199997,68.800003,67.050003,68.050003,68.050003,336835.0
403,2009-09-03,68.150002,69.400002,67.660004,67.959999,67.959999,269497.0
404,2009-09-04,68.190002,68.779999,67.120003,68.019997,68.019997,231967.0
406,2009-09-08,68.110001,71.790001,67.540001,71.099998,71.099998,229782.0
407,2009-09-09,71.33000200000001,72.519997,70.660004,71.309998,71.309998,374237.0
408,2009-09-10,71.639999,72.440002,70.860001,71.940002,71.940002,331984.0
409,2009-09-11,72.050003,72.900002,68.82,69.290001,69.290001,345551.0
411,2009-09-14,69.150002,69.510002,68.019997,68.860001,68.860001,374693.0
